Municipalities;Indicadores de renta media;Period;Total
0800601003 Arenys de Mar sección 01003;Distribución de la renta P80/P20;2017;2.8
0800601003 Arenys de Mar sección 01003;Distribución de la renta P80/P20;2016;2.8
0800601003 Arenys de Mar sección 01003;Distribución de la renta P80/P20;2015;2.6
0800601004 Arenys de Mar sección 01004;Índice de Gini;2017;36.1
0800601004 Arenys de Mar sección 01004;Índice de Gini;2016;39.2
0800601004 Arenys de Mar sección 01004;Índice de Gini;2015;38.4
0800601004 Arenys de Mar sección 01004;Distribución de la renta P80/P20;2017;3.2
0800601004 Arenys de Mar sección 01004;Distribución de la renta P80/P20;2016;3.7
0800601004 Arenys de Mar sección 01004;Distribución de la renta P80/P20;2015;3.8
0800602 Arenys de Mar distrito 02;Índice de Gini;2017;32.3
0800602 Arenys de Mar distrito 02;Índice de Gini;2016;33.6
0800602 Arenys de Mar distrito 02;Índice de Gini;2015;34.0
0800602 Arenys de Mar distrito 02;Distribución de la renta P80/P20;2017;2.8
0800602 Arenys de Mar distrito 02;Distribución de la renta P80/P20;2016;2.8
0800602 Arenys de Mar distrito 02;Distribución de la renta P80/P20;2015;2.8
0800602003 Arenys de Mar sección 02003;Índice de Gini;2017;34.9
0800602003 Arenys de Mar sección 02003;Índice de Gini;2016;36.6
0800602003 Arenys de Mar sección 02003;Índice de Gini;2015;36.6
0800602003 Arenys de Mar sección 02003;Distribución de la renta P80/P20;2017;3.1
0800602003 Arenys de Mar sección 02003;Distribución de la renta P80/P20;2016;3.3
0800602003 Arenys de Mar sección 02003;Distribución de la renta P80/P20;2015;3.3
0800602002 Arenys de Mar sección 02002;Índice de Gini;2017;33.6
0800602002 Arenys de Mar sección 02002;Índice de Gini;2016;34.3
0800602002 Arenys de Mar sección 02002;Índice de Gini;2015;36.1
0800602002 Arenys de Mar sección 02002;Distribución de la renta P80/P20;2017;2.9
0800602002 Arenys de Mar sección 02002;Distribución de la renta P80/P20;2016;3.0
0800602002 Arenys de Mar sección 02002;Distribución de la renta P80/P20;2015;3.3
0800602001 Arenys de Mar sección 02001;Índice de Gini;2017;33.1
0800602001 Arenys de Mar sección 02001;Índice de Gini;2016;35.4
0800602001 Arenys de Mar sección 02001;Índice de Gini;2015;35.3
0800602001 Arenys de Mar sección 02001;Distribución de la renta P80/P20;2017;2.8
0800602001 Arenys de Mar sección 02001;Distribución de la renta P80/P20;2016;3.0
0800602001 Arenys de Mar sección 02001;Distribución de la renta P80/P20;2015;3.2
0800602004 Arenys de Mar sección 02004;Índice de Gini;2017;27.6
0800602004 Arenys de Mar sección 02004;Índice de Gini;2016;28.7
0800602004 Arenys de Mar sección 02004;Índice de Gini;2015;28.7
0800602004 Arenys de Mar sección 02004;Distribución de la renta P80/P20;2017;2.4
0800602004 Arenys de Mar sección 02004;Distribución de la renta P80/P20;2016;2.4
0800602004 Arenys de Mar sección 02004;Distribución de la renta P80/P20;2015;2.5
0800602005 Arenys de Mar sección 02005;Índice de Gini;2017;27.8
0800602005 Arenys de Mar sección 02005;Índice de Gini;2016;28.5
0800602005 Arenys de Mar sección 02005;Índice de Gini;2015;29.1
0800602005 Arenys de Mar sección 02005;Distribución de la renta P80/P20;2017;2.3
0800602005 Arenys de Mar sección 02005;Distribución de la renta P80/P20;2016;2.3
0800602005 Arenys de Mar sección 02005;Distribución de la renta P80/P20;2015;2.3
08007 Arenys de Munt;Índice de Gini;2017;31.2
08007 Arenys de Munt;Índice de Gini;2016;32.2
08007 Arenys de Munt;Índice de Gini;2015;32.7
08007 Arenys de Munt;Distribución de la renta P80/P20;2017;2.7
08007 Arenys de Munt;Distribución de la renta P80/P20;2016;2.7
08007 Arenys de Munt;Distribución de la renta P80/P20;2015;2.8
0800702 Arenys de Munt distrito 02;Índice de Gini;2017;32.8
0800702 Arenys de Munt distrito 02;Índice de Gini;2016;33.4
0800702 Arenys de Munt distrito 02;Índice de Gini;2015;33.2
0800702 Arenys de Munt distrito 02;Distribución de la renta P80/P20;2017;2.8
0800702 Arenys de Munt distrito 02;Distribución de la renta P80/P20;2016;2.8
0800702 Arenys de Munt distrito 02;Distribución de la renta P80/P20;2015;2.6
0800702001 Arenys de Munt sección 02001;Índice de Gini;2017;33.4
0800702001 Arenys de Munt sección 02001;Índice de Gini;2016;33.8
0800702001 Arenys de Munt sección 02001;Índice de Gini;2015;34.2
0800702001 Arenys de Munt sección 02001;Distribución de la renta P80/P20;2017;2.8
0800702001 Arenys de Munt sección 02001;Distribución de la renta P80/P20;2016;2.8
0800702001 Arenys de Munt sección 02001;Distribución de la renta P80/P20;2015;2.6
0800702002 Arenys de Munt sección 02002;Índice de Gini;2017;31.1
0800702002 Arenys de Munt sección 02002;Índice de Gini;2016;32.6
0800702002 Arenys de Munt sección 02002;Índice de Gini;2015;31.9
0800702002 Arenys de Munt sección 02002;Distribución de la renta P80/P20;2017;2.8
0800702002 Arenys de Munt sección 02002;Distribución de la renta P80/P20;2016;2.8
0800702002 Arenys de Munt sección 02002;Distribución de la renta P80/P20;2015;2.7
0800701 Arenys de Munt distrito 01;Índice de Gini;2017;29.4
0800701 Arenys de Munt distrito 01;Índice de Gini;2016;31.2
0800701 Arenys de Munt distrito 01;Índice de Gini;2015;32.1
0800701 Arenys de Munt distrito 01;Distribución de la renta P80/P20;2017;2.4
0800701 Arenys de Munt distrito 01;Distribución de la renta P80/P20;2016;2.6
0800701 Arenys de Munt distrito 01;Distribución de la renta P80/P20;2015;2.8
0800701001 Arenys de Munt sección 01001;Índice de Gini;2017;30.4
0800701001 Arenys de Munt sección 01001;Índice de Gini;2016;32.4
0800701001 Arenys de Munt sección 01001;Índice de Gini;2015;33.1
0800701001 Arenys de Munt sección 01001;Distribución de la renta P80/P20;2017;2.6
0800701001 Arenys de Munt sección 01001;Distribución de la renta P80/P20;2016;2.9
0800701001 Arenys de Munt sección 01001;Distribución de la renta P80/P20;2015;2.8
0800701002 Arenys de Munt sección 01002;Índice de Gini;2017;28.9
0800701002 Arenys de Munt sección 01002;Índice de Gini;2016;30.5
0800701002 Arenys de Munt sección 01002;Índice de Gini;2015;31.5
0800701002 Arenys de Munt sección 01002;Distribución de la renta P80/P20;2017;2.4
0800701002 Arenys de Munt sección 01002;Distribución de la renta P80/P20;2016;2.6
0800701002 Arenys de Munt sección 01002;Distribución de la renta P80/P20;2015;2.8
08008 Argençola;Índice de Gini;2017;28.8
08008 Argençola;Índice de Gini;2016;30.0
08008 Argençola;Índice de Gini;2015;30.1
08008 Argençola;Distribución de la renta P80/P20;2017;2.3
08008 Argençola;Distribución de la renta P80/P20;2016;2.8
08008 Argençola;Distribución de la renta P80/P20;2015;2.7
0800801 Argençola distrito 01;Índice de Gini;2017;28.8
0800801 Argençola distrito 01;Índice de Gini;2016;30.0
0800801 Argençola distrito 01;Índice de Gini;2015;30.1
0800801 Argençola distrito 01;Distribución de la renta P80/P20;2017;2.3
0800801 Argençola distrito 01;Distribución de la renta P80/P20;2016;2.8
0800801 Argençola distrito 01;Distribución de la renta P80/P20;2015;2.7
0800801001 Argençola sección 01001;Índice de Gini;2017;28.8
0800801001 Argençola sección 01001;Índice de Gini;2016;30.0
0800801001 Argençola sección 01001;Índice de Gini;2015;30.1
0800801001 Argençola sección 01001;Distribución de la renta P80/P20;2017;2.3
0800801001 Argençola sección 01001;Distribución de la renta P80/P20;2016;2.8
0800801001 Argençola sección 01001;Distribución de la renta P80/P20;2015;2.7
08009 Argentona;Índice de Gini;2017;31.5
08009 Argentona;Índice de Gini;2016;32.7
08009 Argentona;Índice de Gini;2015;33.3
08009 Argentona;Distribución de la renta P80/P20;2017;2.6
08009 Argentona;Distribución de la renta P80/P20;2016;2.7
08009 Argentona;Distribución de la renta P80/P20;2015;2.7
0800901 Argentona distrito 01;Índice de Gini;2017;32.3
0800901 Argentona distrito 01;Índice de Gini;2016;33.4
0800901 Argentona distrito 01;Índice de Gini;2015;34.0
0800901 Argentona distrito 01;Distribución de la renta P80/P20;2017;2.8
0800901 Argentona distrito 01;Distribución de la renta P80/P20;2016;2.9
0800901 Argentona distrito 01;Distribución de la renta P80/P20;2015;2.8
0800901004 Argentona sección 01004;Índice de Gini;2017;29.0
0800901004 Argentona sección 01004;Índice de Gini;2016;31.1
0800901004 Argentona sección 01004;Índice de Gini;2015;30.7
0800901004 Argentona sección 01004;Distribución de la renta P80/P20;2017;2.5
0800901004 Argentona sección 01004;Distribución de la renta P80/P20;2016;2.8
0800901004 Argentona sección 01004;Distribución de la renta P80/P20;2015;2.7
0800901001 Argentona sección 01001;Índice de Gini;2017;33.8
0800901001 Argentona sección 01001;Índice de Gini;2016;35.2
0800901001 Argentona sección 01001;Índice de Gini;2015;37.0
0800901001 Argentona sección 01001;Distribución de la renta P80/P20;2017;2.6
0800901001 Argentona sección 01001;Distribución de la renta P80/P20;2016;2.3
0800901001 Argentona sección 01001;Distribución de la renta P80/P20;2015;2.4
0800901005 Argentona sección 01005;Índice de Gini;2017;28.5
0800901005 Argentona sección 01005;Índice de Gini;2016;30.5
0800901005 Argentona sección 01005;Índice de Gini;2015;29.5
0800901005 Argentona sección 01005;Distribución de la renta P80/P20;2017;2.6
0800901005 Argentona sección 01005;Distribución de la renta P80/P20;2016;2.7
0800901005 Argentona sección 01005;Distribución de la renta P80/P20;2015;2.6
0800901006 Argentona sección 01006;Índice de Gini;2017;32.5
0800901006 Argentona sección 01006;Índice de Gini;2016;33.0
0800901006 Argentona sección 01006;Índice de Gini;2015;33.2
0800901006 Argentona sección 01006;Distribución de la renta P80/P20;2017;2.6
0800901006 Argentona sección 01006;Distribución de la renta P80/P20;2016;2.8
0800901006 Argentona sección 01006;Distribución de la renta P80/P20;2015;2.7
0800901002 Argentona sección 01002;Índice de Gini;2017;35.0
0800901002 Argentona sección 01002;Índice de Gini;2016;34.7
0800901002 Argentona sección 01002;Índice de Gini;2015;36.3
0800901002 Argentona sección 01002;Distribución de la renta P80/P20;2017;2.6
0800901002 Argentona sección 01002;Distribución de la renta P80/P20;2016;2.8
0800901002 Argentona sección 01002;Distribución de la renta P80/P20;2015;2.7
0800901003 Argentona sección 01003;Índice de Gini;2017;32.6
0800901003 Argentona sección 01003;Índice de Gini;2016;33.3
0800901003 Argentona sección 01003;Índice de Gini;2015;35.1
0800901003 Argentona sección 01003;Distribución de la renta P80/P20;2017;2.6
0800901003 Argentona sección 01003;Distribución de la renta P80/P20;2016;2.5
0800901003 Argentona sección 01003;Distribución de la renta P80/P20;2015;3.0
0800902 Argentona distrito 02;Índice de Gini;2017;29.5
0800902 Argentona distrito 02;Índice de Gini;2016;30.9
0800902 Argentona distrito 02;Índice de Gini;2015;31.5
0800902 Argentona distrito 02;Distribución de la renta P80/P20;2017;2.5
0800902 Argentona distrito 02;Distribución de la renta P80/P20;2016;2.7
0800902 Argentona distrito 02;Distribución de la renta P80/P20;2015;2.6
0800902002 Argentona sección 02002;Índice de Gini;2017;30.6
0800902002 Argentona sección 02002;Índice de Gini;2016;31.8
0800902002 Argentona sección 02002;Índice de Gini;2015;33.1
0800902002 Argentona sección 02002;Distribución de la renta P80/P20;2017;2.8
0800902002 Argentona sección 02002;Distribución de la renta P80/P20;2016;2.8
0800902002 Argentona sección 02002;Distribución de la renta P80/P20;2015;2.8
0800902001 Argentona sección 02001;Índice de Gini;2017;28.9
0800902001 Argentona sección 02001;Índice de Gini;2016;30.3
0800902001 Argentona sección 02001;Índice de Gini;2015;30.6
0800902001 Argentona sección 02001;Distribución de la renta P80/P20;2017;2.4
0800902001 Argentona sección 02001;Distribución de la renta P80/P20;2016;2.4
0800902001 Argentona sección 02001;Distribución de la renta P80/P20;2015;2.6
08010 Artés;Índice de Gini;2017;25.9
08010 Artés;Índice de Gini;2016;26.4
08010 Artés;Índice de Gini;2015;26.9
08010 Artés;Distribución de la renta P80/P20;2017;2.3
08010 Artés;Distribución de la renta P80/P20;2016;2.2
08010 Artés;Distribución de la renta P80/P20;2015;2.4
0801001 Artés distrito 01;Índice de Gini;2017;26.0
0801001 Artés distrito 01;Índice de Gini;2016;28.0
0801001 Artés distrito 01;Índice de Gini;2015;28.7
0801001 Artés distrito 01;Distribución de la renta P80/P20;2017;2.3
0801001 Artés distrito 01;Distribución de la renta P80/P20;2016;2.4
0801001 Artés distrito 01;Distribución de la renta P80/P20;2015;2.6
0801001001 Artés sección 01001;Índice de Gini;2017;26.0
0801001001 Artés sección 01001;Índice de Gini;2016;28.0
0801001001 Artés sección 01001;Índice de Gini;2015;28.7
0801001001 Artés sección 01001;Distribución de la renta P80/P20;2017;2.3
0801001001 Artés sección 01001;Distribución de la renta P80/P20;2016;2.4
0801001001 Artés sección 01001;Distribución de la renta P80/P20;2015;2.6
0801002 Artés distrito 02;Índice de Gini;2017;25.8
0801002 Artés distrito 02;Índice de Gini;2016;25.8
0801002 Artés distrito 02;Índice de Gini;2015;26.2
0801002 Artés distrito 02;Distribución de la renta P80/P20;2017;2.2
0801002 Artés distrito 02;Distribución de la renta P80/P20;2016;2.3
0801002 Artés distrito 02;Distribución de la renta P80/P20;2015;2.3
0801002002 Artés sección 02002;Índice de Gini;2017;26.7
0801002002 Artés sección 02002;Índice de Gini;2016;26.9
